Family;Genus;Species;SVL;Mass
Colubridae;Chironius;multiventris;2496;650
Colubridae;Chironius;quadricarinatus;959;58
Colubridae;Chironius;scurrulus;1720;750
Colubridae;Chrysopelea;ornata;1050;145
Colubridae;Clelia;clelia;2040.7;2050
Colubridae;Clelia;plumbea;1716;600
Colubridae;Coelognathus;radiatus;740;50.5
Colubridae;Coluber;constrictor;1160;182
Colubridae;Coluber;elegantissimus;604.4;21.7
Colubridae;Coluber;flagellum;1810;475
Colubridae;Coluber;sinai;543.7;19.1
Colubridae;Coronella;austriaca;495;50
Colubridae;Coronella;girondica;650;55
Colubridae;Crotaphopeltis;hotamboeia;448;13.8
Colubridae;Dendrelaphis;calligastra;1030;83.7
Colubridae;Dendrelaphis;caudolineatus;937.5;54
Colubridae;Dendrelaphis;punctulatus;1185;130.25
Colubridae;Dendrophidion;dendrophis;742;20.25
Colubridae;Diadophis;punctatus;535.1;17.2
Colubridae;Dinodon;rufozonatum;780;160.9
Colubridae;Dipsas;catesbyi;532.2;11.3
Colubridae;Dipsas;indica;412;4.5
Colubridae;Dipsas;variegata;921.5;46.7
Colubridae;Dispholidus;typus;1156;153
Colubridae;Dolichophis;jugularis;1698.3;691.9
Colubridae;Drepanoides;anomalus;569.2;28.6
Colubridae;Drymarchon;corais;1553;829
Colubridae;Drymarchon;couperi;1725.5;1759
Colubridae;Drymobius;rhombifer;701.5;55.2
Colubridae;Drymoluber;brazili;622;86
Colubridae;Drymoluber;dichrous;979.7;119.3
Colubridae;Eirenis;coronella;261.5;6.1
Colubridae;Eirenis;coronelloides;254;4.3
Colubridae;Eirenis;decemlineatus;666.7;29.4
Colubridae;Eirenis;modestus;454.2;15.5
Colubridae;Eirenis;rothii;219;1.6
Colubridae;Elaphe;quatuorlineata;1600;400
Colubridae;Elaphe;sauromates;1612.3;993
Colubridae;Erythrolamprus;aesculapii;485;40
Colubridae;Gomesophis;brasiliensis;359;23
Colubridae;Helicops;angulatus;426.2;39.4
Colubridae;Helicops;leopardinus;360;24
Colubridae;Helicops;modestus;378;35
Colubridae;Hemorrhois;hippocrepis;1100;220
Colubridae;Hemorrhois;nummifer;1073;230
Colubridae;Hierophis;viridiflavus;1153.3;172.3
Colubridae;Imantodes;cenchoa;954.2;16.4
Colubridae;Imantodes;lentiferus;913.6;14.5
Colubridae;Lampropeltis;getula;1120;258
Colubridae;Lampropeltis;nigra;745.3;152.5
Colubridae;Leptodeira;annulata;654.3;29.9
Colubridae;Leptophis;ahaetulla;1144.7;68.3
Colubridae;Liophis;almadensis;375;14
Colubridae;Liophis;lineatus;550.5;26.5
Colubridae;Liophis;maryellenae;399;23
Colubridae;Liophis;mossoroensis;537.35;50.75
Colubridae;Liophis;poecilogyrus;453;40.1
Colubridae;Liophis;reginae;570.8;35.9
Colubridae;Liophis;typhlus;720;47
Colubridae;Liophis;viridis;456;20.75
Colubridae;Lygophis;meridionalis;611;26
Colubridae;Lygophis;paucidens;496;20
Colubridae;Lytorhynchus;diadema;412;12.8
Colubridae;Macroprotodon;cucullatus;433.7;16.6
Colubridae;Mastigodryas;bifossatus;1410;523
Colubridae;Mussurana;quimi;622;89
Colubridae;Natrix;maura;615;44.4
Colubridae;Natrix;natrix;400;13
Colubridae;Natrix;tessellata;677.4;79.5
Colubridae;Nerodia;sipedon;786.2;174
Colubridae;Nerodia;taxispilota;798;228
